reviewerName,title,stars,comment,date
Prakash K,Macbook pro - heat issue,1.0 out of 5 stars,I got this macbook pro 2020 base model. This macbook starts to become warm as soon as i log in and gradually becomes very hot even for basic tasks. I have applied for return/replacement.Does anyone have this same issue,Reviewed in India on 22 June 2020
Navaneet,As Expected,5.0 out of 5 stars,"Well, itâ€™s 2020 MacBook expectations should be met, itâ€™s powerful... quite comfortable to hold .. I Just blindly went for it because of 256gb storage + HDFC 7k discount. Itâ€™s low priced compere to 2019 model with better improvement like Esc Key, magic keyboarder.",Reviewed in India on 20 June 2020
Himadri Shankar Sen,Macbook - Power Moves!!! Apple nails it again,5.0 out of 5 stars,"Hi guys,I have upgraded from Macbook Air 2017 to Macbook pro-2020 13"" 256GB variant. The main reason for my upgrade was for studies, coding, editing, and entertainment. I wanted to give the air to my mom for light usage as I had already used it for 2 years now and with mild usage, it would run 2 more years without any issues. Hence, I finally upgraded, and here is my detailed review of the product after 2 days of usage :I would start by saying that I am extremely delighted with the new Mac. The new magic keyboard is better than the one on the air. The body is beautiful and the look and design are elite. The space grey looks stunning and the size of the laptop is nice and convenient for typing and using it any place as per your comfort. The speed is really good for an 8GB RAM Mac and I have been trying out some light to moderate photo and video editing, it has been flawless with no rendering issues. I highly recommend keeping an HDD available to store files that you do not require always on your Mac and keep the essential files only for optimum performance. The display on this Mac is amazing, the pictures clicked on my iPhone look beautiful. The web browsing experience has been really good. Moderate level games run fine like Asphalt 8 or 9 even at top quality graphics. Overall, the experience has been fantastic and I am glad I upgraded to the Mac pro so soon and didn't wait for Apple Silicon.This Mac is ideal for any student, average coder, professional work, or any relevant field where you need a powerful device and a compact, easy to carry machine. This doesn't have a dedicated GPU but I don't feel the need for it. The device in itself with all the features is a monster and can smoothly carry out all your daily operations. You can blindly go for this one and I am sure you won't be disappointed at all. In accessories, I would suggest either a USB C dock or 2 converters to USB 3.0, a keyboard protector, and a good laptop sleeve or bag. This would easily last 4 years as per my understanding. Apple does a great job in terms of longevity, performance, optimization, and simplicity. If you have other Apple products, this would add value to your ecosystem too.Thanks for reading through, I hope you guys enjoyed and found this helpful. Cheers! :)",Reviewed in India on 30 July 2020
MOUSUMI DUTTA,The best MacBook you can buy today in terms of value for money,5.0 out of 5 stars,"Released in May 2020, this MacBook Pro still holds its niche today. The processor might seem a bit rusty at first, but MacOS surly knows how to get best output from any processor. This machine is small in blueprint, packs a solid punch.Wellâ€¦ I was confused between this one and MacBook Air M1, but I chose raw power, Touch Bar and better display against battery life.Pros:â€¢ MacOSâ€¢Displayâ€¢Audio Outputâ€¢Key Note, iMovie, Pages, etc Apple apps are awesomeâ€¢Apple Ecosystemâ€¢Screen Mirroringâ€¢Magic Keyboardâ€¢Illuminated Keyboardâ€¢Large trackpadâ€¢Thunderbolt 3â€¢Touch Bar is way too useful for meâ€¢Built Quality and Light Weight at 1.4 kgâ€¢Touch IDâ€¢Surprisingly fast Intel i5 8th genCons:â€¢7 hrs battery Life is underwhelmingâ€¢Absence of HDMI and usb A portsâ€¢HD FaceTime Webcam feels stone aged",Reviewed in India on 29 May 2021
Amazon Customer,High Price for Low Quality,1.0 out of 5 stars,"The Touch Bar stopped working on day 3 and software got corrupted. The machine went into loop of shutting and restarting if left alone for 3 minutes of more. Multiple error messages were displayed at the start up again.Apple support team tried to fix the issue, but all in vain. Amazonâ€™s technical help also gave up.Returned the laptop. What a shame that 142000/- Rs device provided value of 0/- Rs.",Reviewed in India on 16 August 2020
JUNED,Highly Recommended!!! Stay tuned for Full Review,5.0 out of 5 stars,"Well itâ€™s a super feeling to be a proud owner of this Beast yet Elegant Device. Delivered a day later than promised AMAZON.. Yet I am Happy. I am having Space Grey color which gives a highly professional look.I will write a full detailed Review of all Pros & Cons after a month.However, at first glance and preliminary experience, I have observed following advantages over its competitors (Truly there are none).1.  Extraordinary Wifi capabilities.2.  Very Secured Environment. (feels you are working for FBI, CIA or so)3.  Truly Loud yet very High Quality Speakers. (Late Night Movies on Bed are Back)4.  Touchpad experience is like you never need a External Mouse.5.  Built Quality is Awesome, its well balanced and Light weight.",Reviewed in India on 31 July 2020
Sourabh Chakravarty,Garbage,1.0 out of 5 stars,Utterly disappointed with the Apple Macbook pro delivered. A vertical line started appearing on the right hand side of the screen within 30 days of delivery. Now I am unable to return the product as it has passed the 7 days return window. This garbage is not what you expect after spending Rs 1 lakh on a laptop. Never going to buy Apple products from Amazon again.,Reviewed in India on 3 May 2021
Prabal,Best deal,5.0 out of 5 stars,"After using 1 month I'm writing here. I choose Mac Pro Intel i5 version instead of M1 chip & I feel it is wise decision for me according to my requirements. I'm get Pro version in best deal 99k. All though it is 2020 version but still it is powerful machine.I do coding work so this Mac Pro best fit for  me in cheaper price, sometimes I also do video editing Da Vinci resolve 17 run smoothly( I'm do intermediate level of video editing not a pro). This Mac Pro can also editing 4k video, 1 layer is ok but as you increase layers it start lag.It's battery backup is less than M1 chip mac  but still I like this.And also appreciate Appario retail they are highly trust seller & product is delivered at my address in 2 days supperrr fast delivery",Reviewed in India on 26 March 2021
Hemanth Reddy,Product isnâ€™t working,1.0 out of 5 stars,The touch bar isnâ€™t working.Sometimes it freezes and turns black.Iâ€™ve initiated for replacement but no response from amazon....!Very disappointed!!!!,Reviewed in India on 25 February 2021
Kaustav Mukherjee,Best laptop at this price.Blindly buy it,5.0 out of 5 stars,"Apple introduced the new key board.No more worry about key board. 2020 New 8th generation i5 processor along with intel irish plus graphics can beat the performance of previous version of 13 inch macbook pro . Exceptional battery life and a all round performance with value for money. Can be used as only main system for long run. Be it a normal daily work,graphics designing or even 4k video editing of 2 layers 4k video files, it can handle everything smoothly. If you have this much of budget just blindly go for it. After 4-5 years also the performance will be same(its apple), which is not possible in windows laptop.",Reviewed in India on 26 May 2020
Jitendra,Pro is a pro,5.0 out of 5 stars,"Display is up to the mark,Performance is suitable for my daily tasks,Sound quality is phenomenal,i didnâ€™t expect it to sound like this,Touchbar feature comes very handy,Best part is the battery backup,iam getting 10hours+ battery backup on using it for my pdfs,online classes,and netflix,There is no noticeable heat issue very thing is just smooth.",Reviewed in India on 29 August 2020
tharun mahendra,Bought it for 99K,5.0 out of 5 stars,Bought this mac book pro 2020 base model for just 99K on deal price. Didnot get any hdfc cashback since it is the lowest price ever. There was a battery draining issue with the 2020 July mfg. Laptop so I replaced it with another one (Nov 2020 mfg) it's working pretty well. Can be upgraded from Catalina to bigsur. If you are a developer and works on multiple OS and third party apps u should go with Intel processor instead M1.,Reviewed in India on 5 March 2021
Anirban Mukherjee,Heating/battery/charging issue,1.0 out of 5 stars,Don't buy this product.Go for M1 chip option.Bettery life is not good. Excessive heating issue while doing vedio call. You will be getiing electrical shock within metal body while charging the laptop. Now I can able to understand the reason behind making this laptop cheap comapre to M1 chipset,Reviewed in India on 23 May 2021
Amazon Customer,nothing to say about performance,5.0 out of 5 stars,heating issue when working on 2-3 adobe app  simultaniously for 1 hours.,Reviewed in India on 30 July 2020
Amanjot,Worth the Investment,5.0 out of 5 stars,Been using this new computer for a couple months now. So far very happy. Speed is good and was easy putting my old computer files on. Delivery was safe and secure.,Reviewed in India on 23 March 2021
francis d.,Defective Product,1.0 out of 5 stars,"I bought this Mac Book Pro in Februaryand as of today, the 11th of May, my product has green lines all over the screen.I am a graphic designer and my work and income depend on this.Due to the lockdown, I cannot have it checked out at the service station and parts will be available only after June.This is a disaster of a product.",Reviewed in India on 11 May 2021
Prashant,Values for money,5.0 out of 5 stars,Great product.It is same 16 inch pro just small factor,Reviewed in India on 1 September 2020
Sudheer Reddy Alluru,Worst Product,1.0 out of 5 stars,Worst product. Product was replaced and even replaced product was defectiveAmazon support was pathetic.Better not to use Amazon for electronic products,Reviewed in India on 26 May 2021
SHIVAM KUMAR,Value for money deal!,5.0 out of 5 stars,Awesome laptop!!!,Reviewed in India on 6 August 2020
Urjaswat Sinha,My review,5.0 out of 5 stars,This is the best product and value for money...5 ðŸŒŸ rating for my side,Reviewed in India on 25 September 2020
